Job title,Company name,Date,Location,Skills,Links,Salary,Responsibility
Senior Odoo Developer,Confidential -,1 month ago,"Nasr City, Cairo, Egypt",Full TimeFreelance / ProjectRemoteExperienced · 7 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · ERP · Odoo ERP · Accounting · Computer Science · Odoo Development,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/mLWyQKGSAR7o-Senior-Odoo-Developer-Cairo-Egypt,N/A,N/A
Computer Vision Engineer,RTR Software Solutions  -,1 month ago,"Nasr City, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · English · technical · Engineering · Communication skills · Python · Computer Vision · NLP · yolo,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/PExD7hrcOjRm-Computer-Vision-Engineer-RTR-Software-Solutions-Cairo-Egypt,N/A,N/A
Senior Odoo Developer,OdooTec -,1 month ago,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Computer Science · Agile · CSS,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/rLVEfgbXz71P-Senior-Odoo-Developer-OdooTec-Cairo-Egypt,N/A,N/A
IOT Process optimization consultant / 6 Months contract,Efada Technology -,1 month ago,"6th of October, Giza, Egypt",Part TimeFreelance / ProjectHybridExperienced · 5 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Hospitality/Hotels/Food Services · IT/Software Development · Data Science · phd · operations reasearch · Customer Operations Performance Centre · Research · MBA · Software Engineering,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/JlQP331EgCgp-IOT-Process-optimization-consultant-6-Months-contract-Efada-Technology-Giza-Egypt,N/A,N/A
Senior Backend Developer,Pioneers Now -,1 month ago,"Nasr City, Cairo, Egypt",Full TimeHybridExperienced · 5+ Yrs of Exp · Business Development · IT/Software Development · Software · backend · Computer Science · Design · Engineering · Information Technology (IT) · Python · Software Engineering,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Mqo3dmpbrOAE-Senior-Backend-Developer-Pioneers-Now-Cairo-Egypt,N/A,N/A
Python Data Scientist (Quantitative Finance),Jobs via eFinancialCareers -,18 days ago,"Dubai, United Arab Emirates",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Machine Learning · Data Scientist,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/g/4KUn2KASGF19-Python-Data-Scientist-Quantitative-Finance-Jobs-via-eFinancialCareers-Dubai-United-Arab-Emirates,N/A,N/A
Business Analyst Manager,Aqarmap.com -,1 month ago,"Nasr City, Cairo, Egypt",Full TimeOn-siteManager · 3 - 7 Yrs of Exp · Business Development · Operations/Management · Analyst/Research · Analysis · Economics · Market Research · Communication skills · Business Development · Marketing Research · Research Analysis,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/JGD02NY01Kz8-Business-Analyst-Manager-Aqarmap-com-Cairo-Egypt,N/A,N/A
Senior .NET Full Stack Developer (.NET Core & Angular),Lumin -,1 month ago,"Sheikh Zayed, Giza, Egypt",Full TimeHybridExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/JFODooiQ5iRG-Senior-NET-Full-Stack-Developer-NET-Core-Angular-Lumin-Giza-Egypt,N/A,N/A
Machine Learning Engineer,WUZZUF -,1 month ago,"Maadi, Cairo, Egypt",Full TimeHybridExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · ElasticSearch · Machine Learning · Web Development · Pandas · Information Retrieval · Recommender Systems,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/LZGiOLXFhs9n-Machine-Learning-Engineer-WUZZUF-Cairo-Egypt,N/A,N/A
"Senior System Engineer ""German Speaker""",TRIMETIS -,1 month ago,"Cairo, Egypt",Full TimeRemoteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JIRA · Zabbix · Ansible · Python · Bash · Docker · german · English,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/zc0uNSdAagEP-Senior-System-Engineer-German-Speaker-TRIMETIS-Cairo-Egypt,N/A,N/A
AI and Robotics Instructor,MICA -,1 month ago,"Haram, Giza, Egypt",Full TimeOn-siteEntry Level · Education/Teaching · Training/Instructor · AI · Electronics · Engineering · Python · Robotics · Instructor · Education · Teaching,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/SeLTtSLVDjjH-AI-and-Robotics-Instructor-MICA-Giza-Egypt,N/A,N/A
Odoo Developer,National Technology -,1 month ago,"Nasr City, Cairo, Egypt",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · business · Communication skills · Computer Science · Information Technology (IT) · Odoo · Python,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/JZ2sahwKxDxk-Odoo-Developer-National-Technology-Cairo-Egypt,N/A,N/A
